,S,I,R
644,195.0,79.0,126.0
645,195.0,79.0,126.0
646,195.0,79.0,126.0
647,195.0,79.0,126.0
648,195.0,79.0,126.0
649,196.0,78.0,126.0
650,196.0,78.0,126.0
651,195.0,79.0,126.0
652,194.0,80.0,126.0
653,194.0,80.0,126.0
654,194.0,80.0,126.0
655,194.0,80.0,126.0
656,194.0,80.0,126.0
657,194.0,79.0,127.0
658,194.0,78.0,128.0
659,194.0,78.0,128.0
660,194.0,78.0,128.0
661,194.0,78.0,128.0
662,195.0,77.0,128.0
663,195.0,77.0,128.0
664,195.0,77.0,128.0
665,195.0,77.0,128.0
666,195.0,77.0,128.0
667,195.0,77.0,128.0
668,196.0,76.0,128.0
669,196.0,76.0,128.0
670,195.0,77.0,128.0
671,195.0,77.0,128.0
672,195.0,77.0,128.0
673,194.0,78.0,128.0
674,194.0,78.0,128.0
675,194.0,78.0,128.0
676,194.0,78.0,128.0
677,194.0,78.0,128.0
678,194.0,78.0,128.0
679,194.0,78.0,128.0
680,194.0,78.0,128.0
681,193.0,79.0,128.0
682,192.0,80.0,128.0
683,192.0,79.0,129.0
684,191.0,80.0,129.0
685,191.0,80.0,129.0
686,191.0,80.0,129.0
687,190.0,81.0,129.0
688,191.0,80.0,129.0
689,191.0,79.0,130.0
690,191.0,79.0,130.0
691,190.0,80.0,130.0
692,190.0,80.0,130.0
693,190.0,80.0,130.0
694,190.0,80.0,130.0
695,190.0,80.0,130.0
696,190.0,80.0,130.0
697,190.0,80.0,130.0
698,190.0,80.0,130.0
699,190.0,80.0,130.0
700,191.0,79.0,130.0
701,191.0,79.0,130.0
702,191.0,79.0,130.0
703,191.0,79.0,130.0
704,191.0,78.0,131.0
705,191.0,78.0,131.0
706,191.0,77.0,132.0
707,190.0,78.0,132.0
708,189.0,79.0,132.0
709,188.0,80.0,132.0
710,188.0,79.0,133.0
711,188.0,79.0,133.0
712,188.0,79.0,133.0
713,188.0,79.0,133.0
714,188.0,79.0,133.0
715,188.0,79.0,133.0
716,188.0,79.0,133.0
717,189.0,78.0,133.0
718,189.0,78.0,133.0
719,188.0,79.0,133.0
720,188.0,79.0,133.0
721,188.0,79.0,133.0
722,188.0,79.0,133.0
723,188.0,79.0,133.0
724,188.0,79.0,133.0
725,188.0,79.0,133.0
726,188.0,79.0,133.0
727,188.0,78.0,134.0
728,187.0,79.0,134.0
729,187.0,79.0,134.0
730,187.0,79.0,134.0
731,187.0,79.0,134.0
732,187.0,79.0,134.0
733,187.0,79.0,134.0
734,186.0,80.0,134.0
735,186.0,80.0,134.0
736,186.0,80.0,134.0
737,186.0,80.0,134.0
738,186.0,80.0,134.0
739,186.0,80.0,134.0
740,186.0,80.0,134.0
741,185.0,81.0,134.0
742,185.0,81.0,134.0
743,185.0,81.0,134.0
744,185.0,81.0,134.0
745,184.0,82.0,134.0
746,184.0,82.0,134.0
747,184.0,82.0,134.0
748,184.0,82.0,134.0
749,184.0,82.0,134.0
750,185.0,81.0,134.0
751,185.0,81.0,134.0
752,185.0,81.0,134.0
753,184.0,82.0,134.0
754,183.0,83.0,134.0
755,183.0,83.0,134.0
756,183.0,83.0,134.0
